,age,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,dependents,per_net_purchase,gender,education,status,description
1047,1966,72054,25,87,718,66,1,25,6,2,1,50,M,Graduation,Together,Kind of OK
1048,1981,32965,12,48,64,55,5,28,8,4,1,69,F,Graduation,Together,Kind of OK
1049,1952,96672,30,43,1343,45,2,35,7,12,1,17,M,Graduation,Married,OK nice!
1050,1996,32640,12,46,81,6,24,12,27,31,1,62,F,1st Cycle,Single,Meh...
1051,1972,58535,11,8,92,43,5,44,4,4,1,52,F,1st Cycle,Together,Meh...
1052,1994,24021,7,35,30,23,20,25,12,20,1,45,M,1st Cycle,Together,OK nice!
1053,1990,53484,9,96,32,11,33,23,24,8,1,76,M,Graduation,Single,Meh...
1054,1968,70008,24,44,660,86,0,13,0,1,,46,F,Graduation,Single,Kind of OK
1055,1980,44237,6,9,32,38,20,9,25,8,1,35,F,2nd Cycle,Together,OK nice!
1056,1964,74681,24,91,603,86,1,11,1,1,1,52,F,2nd Cycle,Divorced,Meh...
1057,1952,111009,41,56,1789,30,15,33,16,6,0,43,M,1st Cycle,Divorced,OK nice!
1058,1985,39253,10,95,52,33,16,28,15,8,1,48,M,Graduation,Married,Kind of OK
1059,1983,39086,10,55,44,31,6,32,14,17,1,60,F,2nd Cycle,Single,Kind of OK
1060,1953,93234,29,4,1018,58,10,23,0,9,0,40,F,2nd Cycle,Together,OK nice!
1061,1962,86610,36,39,1464,84,1,13,1,1,1,32,M,Graduation,Married,OK nice!
1062,1971,72599,25,100,659,69,0,26,1,3,1,53,F,Graduation,Married,Meh...
1063,1995,22255,11,63,31,7,7,36,10,40,1,72,M,1st Cycle,Single,Meh...
1064,1942,117713,48,33,2471,71,1,21,4,3,0,11,M,Graduation,Married,Take my money!!
1065,1980,45839,14,68,151,48,5,39,7,1,1,67,F,Graduation,Married,OK nice!
1066,1960,68568,14,65,306,44,5,18,18,15,0,41,M,Graduation,Divorced,OK nice!
1067,1954,81974,18,44,545,85,2,11,2,1,1,33,F,PhD,Together,Kind of OK
1068,1985,34675,10,66,30,30,8,50,10,3,1,67,M,Graduation,Married,Meh...
1069,1993,12226,7,62,30,19,5,8,24,44,1,41,M,2nd Cycle,Single,Meh...
1070,1986,37920,11,87,66,58,3,37,1,1,1,61,M,Master,Single,Meh...
1071,1974,74963,24,81,603,65,2,28,3,2,1,57,M,1st Cycle,Together,Kind of OK
1072,1976,53155,12,49,91,67,1,22,3,7,1,64,F,Graduation,Together,Meh...
1073,1940,107660,37,99,1787,59,1,34,3,3,0,15,M,,Together,Take my money!!
1074,1994,21088,9,61,24,9,15,25,26,25,1,66,M,1st Cycle,Single,OK nice!
1075,1985,57533,8,65,41,36,6,38,13,7,0,63,M,PhD,Divorced,Kind of OK
1076,1943,103740,27,40,894,77,2,13,4,4,1,46,M,Graduation,Widow,OK nice!
1077,1947,98208,23,93,706,71,3,17,4,5,1,42,M,Graduation,Divorced,Kind of OK
1078,1940,97040,36,14,1666,47,2,48,2,1,0,12,M,Master,,OK nice!
1079,1970,55873,9,23,36,57,5,35,2,1,1,57,M,Graduation,Married,Kind of OK
1080,1977,43677,11,43,43,27,6,50,11,7,1,62,F,1st Cycle,Married,OK nice!
1081,1977,54251,7,479,14,74,2,23,1,0,1,68,M,PhD,Single,OK nice!
1082,1969,65916,21,40,436,63,6,19,12,1,1,54,M,2nd Cycle,Married,Kind of OK
1083,1982,47003,8,429,20,66,3,28,2,1,1,55,M,2nd Cycle,Single,Kind of OK
1084,1939,106742,36,87,1791,47,13,31,5,4,0,8,F,Graduation,Married,Take my money!!
1085,1937,119820,51,6,2530,42,6,26,17,9,0,18,F,1st Cycle,Married,OK nice!
1086,1955,77870,31,38,1086,48,11,33,7,1,1,32,M,2nd Cycle,Together,OK nice!
1087,1974,51404,14,45,150,77,2,18,2,1,1,63,M,Graduation,Together,Kind of OK
1088,1987,57940,10,47,149,16,21,39,8,16,1,39,M,Graduation,Single,Kind of OK
1089,1939,96762,41,74,1985,27,18,51,1,3,0,13,F,2nd Cycle,Together,Take my money!!
1090,1946,92414,14,38,496,49,6,32,3,10,0,11,M,Master,Together,Meh...
1091,1994,10000,10,94,24,14,8,34,13,30,,56,M,1st Cycle,Single,Kind of OK
1092,1979,49839,22,34,538,39,9,49,0,3,1,42,M,Graduation,Together,OK nice!
1093,1950,95786,26,54,948,35,6,27,23,10,0,35,F,Graduation,Together,Take my money!!
1094,1966,82483,22,9,659,91,0,8,0,1,0,46,M,Graduation,Married,Meh...
1095,1955,78995,20,87,489,67,2,25,3,3,1,39,M,Graduation,Married,Kind of OK
1096,1984,56537,10,18,40,55,3,28,1,13,1,72,M,PhD,Married,OK nice!
1097,1942,109642,34,93,1594,11,30,38,6,14,0,15,M,2nd Cycle,Married,Take my money!!
1098,1983,54784,17,62,216,86,0,13,0,0,1,70,M,PhD,Married,Meh...
1099,1937,122884,41,25,2044,40,9,39,4,8,0,13,F,Graduation,Together,OK nice!
1100,1975,49302,24,57,648,68,2,22,3,5,0,40,M,Graduation,Single,OK nice!
1101,1971,45054,16,47,254,61,1,25,8,5,1,52,M,2nd Cycle,Single,Meh...
1102,1949,84818,18,28,602,37,14,39,6,4,0,17,M,Graduation,Widow,OK nice!
1103,1967,75183,26,27,828,99,0,1,0,0,1,43,F,PhD,Together,OK nice!
1104,1977,64931,7,90,40,65,3,27,3,2,1,44,M,Master,Together,OK nice!
1105,1976,56213,11,26,122,40,8,37,2,13,1,36,M,2nd Cycle,Single,Meh...
1106,1942,102694,36,73,1729,53,3,37,5,2,0,12,F,Graduation,Widow,Take my money!!
1107,1973,58030,14,32,150,90,1,9,0,0,1,61,M,Master,Married,Kind of OK
1108,1961,81563,31,60,1027,85,1,13,0,1,1,64,F,Graduation,Together,Take my money!!
1109,1974,59652,13,33,87,74,3,16,4,3,1,62,M,2nd Cycle,Single,OK nice!
1110,1971,54992,11,70,60,55,3,38,3,1,1,63,M,Master,Married,Meh...
1111,1951,95857,36,35,1602,57,3,36,4,0,1,27,F,Master,Together,Take my money!!
1112,1957,88234,33,41,1343,69,5,20,5,1,1,27,M,Graduation,Together,Take my money!!
1113,1957,56423,8,64,89,42,2,23,10,23,0,43,M,Graduation,Together,OK nice!
1114,1958,73113,21,70,651,39,10,23,7,21,1,22,M,1st Cycle,Married,OK nice!
1115,1974,61630,7,82,34,60,10,29,0,1,1,55,M,Graduation,Divorced,OK nice!
1116,1944,115621,37,37,1730,43,2,46,6,4,0,26,M,Master,Married,Take my money!!
1117,1994,20462,13,35,89,7,9,34,30,20,0,70,F,1st Cycle,Together,Kind of OK
1118,1942,103763,29,13,1281,36,1,51,9,3,0,16,M,Graduation,Divorced,Take my money!!
1119,1994,20097,9,15,41,5,19,19,22,35,1,56,M,1st Cycle,Single,Kind of OK
1120,1939,116432,38,81,1914,45,7,31,8,9,0,8,F,Graduation,Married,Take my money!!
1121,1984,30366,9,440,16,37,7,50,1,4,1,62,F,2nd Cycle,Married,Kind of OK
1122,1987,28366,10,477,20,55,7,34,2,2,1,66,F,Graduation,Together,Meh...
1123,1947,89411,24,99,960,49,1,42,2,6,0,18,M,Master,Together,OK nice!
1124,1941,94601,25,66,1088,22,1,51,18,8,0,13,M,Graduation,,Meh...
1125,1995,35376,5,352,13,2,35,9,38,16,1,55,M,1st Cycle,Married,Horrible
1126,1958,98333,17,51,481,51,6,23,2,18,1,37,F,Graduation,Together,OK nice!
1127,1938,107862,41,21,2041,16,11,49,10,13,0,11,F,Graduation,Married,Take my money!!
1128,1965,63441,20,99,430,83,1,11,1,3,1,54,M,Graduation,Together,OK nice!
1129,1965,75623,31,92,1020,90,1,9,0,0,,54,F,Graduation,Single,OK nice!
1130,1943,107518,35,83,1725,15,5,44,14,22,0,10,F,2nd Cycle,Single,OK nice!
1131,1937,113367,31,34,1465,25,10,55,7,2,0,11,F,Graduation,Married,OK nice!
1132,1975,58740,12,5,150,83,0,16,0,1,1,52,M,Master,Single,Kind of OK
1133,1957,79095,23,74,772,63,6,25,3,2,1,25,M,Graduation,Together,OK nice!
1134,1984,37760,10,68,42,47,4,35,7,7,1,54,F,Graduation,Married,Meh...
1135,1958,81113,27,13,954,50,13,24,3,10,1,42,F,Master,Married,OK nice!
1136,1980,30589,9,521,19,58,2,33,3,4,1,58,F,Graduation,Together,OK nice!
1137,1990,24187,11,5,64,20,20,37,10,14,0,64,M,Graduation,Married,Kind of OK
1138,1963,79377,16,28,303,90,0,9,0,0,1,56,M,Graduation,Single,OK nice!
1139,1985,21207,8,212,20,32,2,40,8,19,0,54,M,Graduation,Married,OK nice!
1140,1943,94135,39,51,1852,55,3,37,0,4,0,16,F,Graduation,Single,OK nice!
1141,1943,93240,32,21,1403,18,7,59,12,5,0,14,F,2nd Cycle,Married,OK nice!
1142,1969,68156,16,37,348,47,0,35,3,15,1,39,F,1st Cycle,Married,Meh...
1143,1942,113248,49,3,2285,62,0,32,3,3,0,31,F,Graduation,Together,Take my money!!
1144,1978,44754,11,46,60,45,3,44,5,3,1,53,F,Master,Single,Kind of OK
1145,1993,20033,11,55,44,18,41,24,1,16,1,51,F,2nd Cycle,Single,Kind of OK
1146,1967,81286,27,20,895,96,0,4,0,0,,47,M,Master,Married,OK nice!
1147,1992,31107,12,92,60,9,61,12,1,17,1,63,M,1st Cycle,Single,Meh...
1148,1978,43704,9,196,20,48,6,36,6,4,1,57,M,Graduation,Married,Kind of OK
1149,1985,30332,6,43,25,46,6,37,6,6,0,40,M,PhD,Married,Kind of OK
1150,1961,43260,18,6,300,77,2,19,0,2,1,47,F,Graduation,Together,OK nice!
1151,1967,56556,7,51,54,70,6,13,6,5,1,43,F,2nd Cycle,Married,Kind of OK
1152,1958,84590,18,30,441,69,5,24,1,1,1,38,F,Graduation,Together,OK nice!
1153,1951,104037,44,38,1920,82,1,15,1,0,1,42,M,PhD,Single,Take my money!!
1154,1973,81065,13,41,259,68,1,26,3,2,,44,M,Master,Single,OK nice!
1155,1995,20144,8,483,19,23,11,43,6,17,1,42,M,1st Cycle,Together,OK nice!
1156,1937,124412,38,74,1859,32,4,51,6,8,0,13,F,Graduation,Single,OK nice!
1157,1957,95149,36,67,1469,59,5,22,4,10,1,28,M,1st Cycle,Married,OK nice!
1158,1956,96397,39,43,1669,81,0,14,3,2,1,32,M,Graduation,Divorced,OK nice!
1159,1944,110616,25,17,1076,34,14,26,13,13,0,14,M,Graduation,Married,Meh...
1160,1943,105919,40,86,1792,20,9,42,4,25,0,26,M,2nd Cycle,Married,OK nice!
1161,1963,63764,11,0,64,84,3,8,3,2,1,63,M,1st Cycle,Married,Kind of OK
1162,1962,75624,31,67,1014,78,2,12,5,2,1,48,M,2nd Cycle,Together,Take my money!!
1163,1988,30617,10,55,19,52,9,35,0,4,1,69,M,Graduation,Divorced,Kind of OK
1164,1961,88753,31,80,1010,74,1,16,5,4,1,60,M,Graduation,Together,Take my money!!
1165,1990,47175,13,7,91,6,2,31,21,40,1,59,M,1st Cycle,Single,Meh...
1166,1938,108954,43,49,2103,57,10,17,11,5,0,20,M,1st Cycle,Together,Take my money!!
1167,1938,110720,33,61,1472,52,7,34,7,1,0,23,M,Master,Married,Take my money!!
1168,1943,95155,26,24,1082,21,21,36,3,19,0,17,F,Graduation,Married,OK nice!
1169,1989,34382,9,8,29,39,13,43,2,3,1,64,M,Graduation,Single,OK nice!
1170,1973,48573,17,70,256,78,2,17,2,1,1,48,M,Graduation,Married,Kind of OK
1171,1964,67871,24,28,647,80,2,15,1,2,1,53,M,OldSchool,Together,OK nice!
1172,1947,100518,35,35,1667,22,8,57,11,1,0,11,F,2nd Cycle,Single,OK nice!
1173,1977,63739,12,100,120,56,1,39,2,2,1,50,M,Master,Married,OK nice!
1174,1995,32489,10,158,20,10,21,12,1,56,1,69,M,1st Cycle,Together,OK nice!
1175,1982,49539,9,51,71,33,0,37,8,22,1,43,M,Graduation,Single,OK nice!
1176,1946,106071,30,64,1403,22,17,30,25,6,0,14,M,Graduation,Married,Take my money!!
1177,1969,65490,31,90,1089,57,5,22,7,9,0,39,M,1st Cycle,Married,Take my money!!
1178,1948,107451,29,25,1335,38,7,39,14,3,0,17,M,Graduation,Widow,Take my money!!
1179,1973,56014,14,46,151,87,0,11,1,1,1,58,F,Graduation,Married,Kind of OK
1180,1992,40107,12,61,64,7,21,32,15,26,0,72,M,2nd Cycle,Single,Meh...
1181,1959,91740,11,73,261,70,1,19,5,5,1,29,F,Master,Single,OK nice!
1182,1985,36294,11,40,28,28,19,39,8,6,1,77,F,Graduation,Single,Meh...
1183,1979,48835,6,178,17,58,6,32,3,1,1,46,M,2nd Cycle,Single,Meh...
1184,1967,56307,7,54,41,88,1,10,1,0,1,45,M,Master,Married,Meh...
1185,1960,79823,29,37,1028,75,5,15,4,1,1,46,F,Graduation,Married,OK nice!
1186,1949,99877,46,66,2230,22,4,36,15,23,0,14,M,Graduation,Married,OK nice!
1187,1990,44332,10,11,68,9,15,31,22,22,1,55,F,2nd Cycle,Together,OK nice!
1188,1955,87548,18,92,535,56,10,19,5,10,1,29,M,Graduation,Single,OK nice!
1189,1961,78857,19,67,446,82,1,14,2,2,1,46,M,1st Cycle,Together,Kind of OK
1190,1978,47204,9,43,48,28,24,31,3,14,1,57,M,2nd Cycle,Together,Meh...
1191,1949,92112,21,72,540,76,3,17,2,2,1,50,M,Master,Married,Meh...
1192,1994,25257,8,2,59,26,29,21,17,8,0,33,M,1st Cycle,Single,Kind of OK
1193,1936,111242,27,21,1212,73,4,18,4,2,0,13,F,Graduation,Divorced,Take my money!!
1194,1954,106347,19,32,593,70,1,21,2,6,1,34,M,Master,Together,Meh...
1195,1947,103322,34,66,1466,22,12,51,12,4,0,28,M,Graduation,Married,OK nice!
1196,1958,72429,14,27,295,39,8,45,0,8,1,38,M,Graduation,Together,Meh...
1197,1974,,20,10,395,67,1,28,2,2,1,56,F,Graduation,Together,Meh...
1198,1951,93894,24,98,716,67,4,19,8,2,1,53,M,PhD,Together,Kind of OK
1199,1995,10000,11,59,43,14,38,26,19,3,0,67,M,1st Cycle,Together,OK nice!
1200,1954,84686,19,64,589,70,0,22,5,3,,32,M,Graduation,Single,Kind of OK
1201,1989,49275,9,24,29,14,9,32,31,14,1,63,F,Graduation,Single,OK nice!
1202,1952,94467,25,44,1088,54,5,35,5,1,1,15,M,Graduation,Together,Meh...
1203,1956,89635,27,77,1014,39,9,36,5,11,0,29,F,Graduation,Married,OK nice!
1204,1986,32294,7,94,34,24,27,29,4,17,0,49,M,Graduation,Single,Meh...
1205,1965,65043,19,60,444,67,8,12,3,10,1,44,M,Graduation,Divorced,Kind of OK
1206,1981,49296,12,41,71,11,12,41,17,19,1,68,M,Graduation,Single,Meh...
1207,1987,52713,9,51,64,27,10,31,22,11,1,50,M,Graduation,Together,Kind of OK
1208,1946,96035,26,49,1147,60,13,24,0,3,0,14,F,Graduation,Married,OK nice!
1209,1977,56716,12,69,92,39,13,41,4,3,1,61,F,Graduation,Together,OK nice!
1210,1943,106963,32,8,1530,40,9,39,1,11,0,10,F,2nd Cycle,Together,Take my money!!
1211,1984,54457,10,53,120,37,5,48,4,6,1,56,M,Graduation,Married,Meh...
1212,1985,47077,21,59,431,12,1,40,14,34,1,59,F,1st Cycle,Together,OK nice!
1213,1959,80000,16,70,298,70,11,17,1,0,1,40,M,2nd Cycle,Married,Kind of OK
1214,1991,48173,17,46,438,36,10,29,12,13,1,25,F,Graduation,Single,OK nice!
1215,1971,74496,18,75,259,67,0,21,8,4,1,73,F,1st Cycle,Together,OK nice!
1216,1942,96396,28,17,1285,44,7,34,9,6,0,13,F,Graduation,Widow,Take my money!!
1217,1988,23906,12,51,41,60,5,30,2,3,1,67,M,Graduation,Together,OK nice!
1218,1961,72247,21,91,496,85,0,13,1,1,1,61,M,Graduation,Single,Kind of OK
1219,1972,52116,10,9,89,72,0,19,5,4,1,45,M,2nd Cycle,Married,Kind of OK
1220,1945,93512,34,34,1536,56,8,28,7,2,0,14,M,Master,Widow,OK nice!
1221,1993,22063,12,6,58,22,1,30,46,1,0,62,M,2nd Cycle,,OK nice!
1222,1966,60271,7,93,92,33,13,28,24,2,1,34,M,1st Cycle,Single,Kind of OK
1223,1988,34965,10,39,48,9,16,33,22,20,1,49,M,1st Cycle,Married,Kind of OK
1224,1978,48085,15,97,254,52,6,29,6,6,1,33,F,Master,Married,OK nice!
1225,1976,52506,7,243,19,42,1,50,4,4,1,49,F,Graduation,Married,Meh...
1226,1955,75401,25,42,952,60,5,28,1,6,0,25,M,PhD,,OK nice!
1227,1963,77053,17,47,303,58,7,22,6,7,1,58,F,2nd Cycle,Single,Kind of OK
1228,1988,29678,12,56,61,42,13,28,3,15,1,61,M,2nd Cycle,Single,Kind of OK
1229,1989,35148,9,33,30,33,4,57,4,2,1,60,M,Graduation,Together,OK nice!
1230,1940,110337,39,9,1914,24,20,21,20,16,0,15,F,2nd Cycle,Divorced,OK nice!
1231,1990,53922,13,52,153,30,8,34,13,15,1,42,F,Graduation,Together,Kind of OK
1232,1943,94274,37,47,1528,46,2,36,5,11,1,32,M,Master,Single,OK nice!
1233,1988,25849,12,68,37,32,7,53,6,2,1,70,M,Graduation,Married,Meh...
1234,1992,37856,16,86,217,15,13,52,14,6,1,51,M,Graduation,Single,Meh...
1235,1949,101803,37,8,1729,55,9,26,6,4,0,18,M,Graduation,Married,OK nice!
1236,1974,64971,7,366,19,60,3,32,1,4,1,54,M,Graduation,Together,Kind of OK
1237,1975,56467,15,64,184,32,6,52,4,6,1,58,M,Graduation,Single,Meh...
1238,1974,58167,20,90,395,66,0,16,6,12,1,53,M,PhD,Married,OK nice!
1239,1966,80658,22,59,650,77,1,20,2,1,1,47,M,Master,Married,OK nice!
1240,1977,45548,10,64,49,60,2,35,1,2,1,55,M,Graduation,Married,Kind of OK
1241,1960,90253,22,28,650,83,1,13,1,2,1,42,F,Graduation,Divorced,Meh...
1242,1936,109400,39,5,1859,78,1,19,1,1,0,19,F,Master,Single,Take my money!!
1243,1945,104772,36,35,1666,49,4,33,10,4,0,15,M,Graduation,Single,Take my money!!
1244,1951,90031,13,6,301,45,2,23,13,17,1,36,M,1st Cycle,Married,Kind of OK
1245,1942,103842,20,29,763,9,17,52,19,3,0,16,F,Graduation,Married,Kind of OK
1246,1965,65002,19,8,305,24,19,33,18,5,1,63,F,2nd Cycle,Together,Meh...
1247,1980,50495,11,68,93,37,7,35,9,12,1,59,M,PhD,Married,Kind of OK
1248,1978,45044,11,24,57,55,12,15,8,10,1,67,F,2nd Cycle,Divorced,OK nice!
1249,1975,46810,12,4,91,77,4,15,3,1,1,52,F,1st Cycle,Married,Meh...
1250,1979,58377,21,22,481,68,2,26,4,1,1,48,M,Graduation,Married,Kind of OK
1251,1986,52461,21,53,397,33,1,42,13,11,0,72,F,Graduation,Together,Meh...
1252,1983,45999,7,202,20,63,10,14,10,3,1,44,M,Master,Married,OK nice!
1253,1965,68562,25,1,710,83,1,12,1,2,1,52,F,Graduation,Divorced,OK nice!
1254,1966,70631,30,84,963,78,5,15,1,1,0,53,F,Graduation,Single,OK nice!
1255,1948,104360,27,68,1214,39,8,37,8,9,0,10,M,Graduation,Single,Take my money!!
1256,1977,53293,8,540,19,47,12,33,6,2,1,52,M,2nd Cycle,Single,Kind of OK
1257,1983,44787,12,30,60,38,4,53,0,5,1,74,M,Master,Married,Kind of OK
1258,1971,67713,10,27,91,71,2,24,1,2,,56,F,Graduation,Married,Kind of OK
1259,1948,93772,35,77,1605,30,9,53,2,6,0,12,M,Graduation,Widow,OK nice!
1260,1975,63761,10,54,38,26,2,43,13,16,1,72,M,1st Cycle,Married,OK nice!
1261,1938,118761,45,96,2103,67,1,19,6,7,0,30,M,Graduation,Single,OK nice!
1262,1940,113663,47,70,2410,45,8,29,13,4,0,11,M,Graduation,,OK nice!
1263,1958,75338,26,56,953,61,9,20,8,2,1,22,F,1st Cycle,Single,Take my money!!
1264,1956,103628,33,68,1401,54,10,24,1,11,1,29,M,2nd Cycle,Divorced,Take my money!!
1265,1960,97622,19,4,602,78,4,17,1,1,1,42,M,Graduation,Divorced,OK nice!
1266,1960,73568,21,92,538,80,0,14,1,5,1,38,M,Master,Married,Meh...
1267,1971,69566,6,4,42,68,15,13,2,2,1,51,M,2nd Cycle,Married,Meh...
1268,1992,15938,13,45,44,9,29,33,16,13,1,64,F,2nd Cycle,Single,OK nice!
1269,1985,35460,8,4,33,45,1,27,13,14,1,52,M,1st Cycle,Married,Kind of OK
1270,1972,61459,21,92,543,54,7,38,1,0,1,35,M,Graduation,Single,OK nice!
1271,1964,71021,28,24,827,78,1,18,2,0,1,56,F,Graduation,Together,Take my money!!
1272,1974,49798,5,438,19,34,21,36,4,5,0,48,F,2nd Cycle,Married,Kind of OK
1273,1984,45424,10,41,60,24,13,45,14,4,1,45,M,Graduation,Together,OK nice!
1274,1955,89962,14,93,345,47,9,37,2,5,1,35,M,Master,Divorced,Meh...
1275,1982,49646,6,68,42,48,6,23,8,15,1,36,F,Graduation,Divorced,Meh...
1276,1988,32491,11,96,66,20,13,56,3,8,1,56,M,1st Cycle,Single,Meh...
1277,1957,70424,15,67,437,36,22,21,15,7,1,25,F,Graduation,Married,Kind of OK
1278,1969,70729,16,12,260,46,14,25,3,11,1,62,F,2nd Cycle,Together,Meh...
1279,1939,92843,31,71,1413,44,4,46,2,4,0,15,M,Graduation,Married,Take my money!!
1280,1949,,8,81,122,76,3,18,2,1,1,38,M,Master,,Meh...
1281,1937,113962,37,46,1796,40,4,48,5,3,0,15,F,1st Cycle,Together,OK nice!
1282,1991,34248,10,16,31,15,23,48,1,13,1,63,F,Graduation,Single,OK nice!
1283,1940,114849,42,41,2043,18,4,65,5,8,0,22,M,Master,Widow,Take my money!!
1284,1939,113514,36,72,1790,37,4,46,7,6,0,11,F,Graduation,Together,OK nice!
1285,1988,32666,10,16,57,41,7,39,8,5,1,52,F,Master,Single,Kind of OK
1286,1990,41395,9,30,29,10,29,34,21,6,1,64,M,1st Cycle,Together,Meh...
1287,1955,81419,27,20,948,58,11,28,3,0,1,34,M,PhD,Married,OK nice!
1288,1953,107495,35,67,1467,45,2,32,14,7,1,39,M,Graduation,Single,OK nice!
1289,1982,49542,8,4,64,54,5,33,3,5,1,50,M,Master,Single,OK nice!
1290,1973,58325,16,83,256,63,2,27,0,7,1,51,F,Graduation,Married,Kind of OK
1291,1988,32203,6,11,14,37,7,43,9,3,,59,F,Master,Single,Meh...
1292,1992,18275,11,52,37,15,39,23,22,1,1,62,F,Graduation,Together,Meh...
1293,1959,87672,17,44,543,30,24,28,7,11,1,23,F,2nd Cycle,Divorced,Kind of OK
1294,1973,75376,33,49,1211,59,2,35,3,1,0,51,F,Master,Married,OK nice!
1295,1950,105313,31,66,1335,30,12,32,22,4,1,34,M,1st Cycle,Divorced,OK nice!
1296,1949,87457,16,28,340,73,4,17,5,1,1,46,M,Master,Single,Kind of OK
1297,1993,30009,23,67,492,14,0,46,8,32,0,68,F,2nd Cycle,Single,Kind of OK
1298,1983,40569,18,98,486,30,23,26,1,20,0,26,M,Master,Divorced,Kind of OK
1299,1946,96934,27,96,1149,16,16,34,34,0,0,15,M,1st Cycle,Married,Take my money!!
1300,1963,71537,17,48,299,91,0,7,1,1,1,65,M,Graduation,Single,Kind of OK
1301,1941,110094,34,28,1595,54,2,35,3,6,0,19,M,Master,Married,OK nice!
1302,1948,98695,32,40,1463,23,12,56,6,3,0,17,M,Graduation,Married,OK nice!
1303,1983,61836,8,89,91,41,1,51,4,4,,48,F,Master,Married,Meh...
1304,1937,93335,31,5,1074,72,3,20,4,1,1,34,M,Graduation,Together,OK nice!
1305,1982,57408,9,509,19,24,5,30,20,22,1,63,M,1st Cycle,Married,Meh...
1306,1974,45144,10,79,43,30,8,31,17,14,1,62,M,2nd Cycle,Married,Meh...
1307,1993,37551,11,23,65,6,28,40,13,13,1,60,F,2nd Cycle,Single,OK nice!
1308,1976,47120,8,1,43,64,2,29,2,3,1,58,F,Master,Married,Meh...
1309,1977,31132,10,47,36,53,2,34,1,11,1,50,M,Graduation,Married,OK nice!
1310,1949,87284,20,17,544,72,6,13,3,6,1,39,F,1st Cycle,Married,Kind of OK
1311,1969,67531,11,32,225,77,2,14,3,4,1,34,M,1st Cycle,,OK nice!
1312,1971,63852,11,34,120,47,5,38,6,4,1,50,F,Graduation,Married,Kind of OK
1313,1965,63359,13,77,296,78,1,16,2,4,1,29,F,Master,Together,Kind of OK
1314,1993,18733,11,42,45,13,14,51,7,15,1,62,F,2nd Cycle,Single,Meh...
1315,1947,94512,34,70,1532,38,19,40,3,0,0,14,M,Graduation,Married,OK nice!
1316,1990,40945,10,401,20,14,12,38,20,16,1,79,M,2nd Cycle,Single,Meh...
1317,1976,64291,17,31,263,78,2,18,0,1,1,60,F,Master,Single,Meh...
1318,1992,31303,12,51,90,32,7,31,11,19,0,63,M,Graduation,Single,Meh...
1319,1995,27233,10,5,41,11,30,14,6,40,1,57,F,1st Cycle,Together,Kind of OK
1320,1950,81418,27,80,900,43,14,38,0,5,1,39,M,2nd Cycle,Married,OK nice!
1321,1961,81358,24,1,707,86,1,12,1,0,1,38,M,2nd Cycle,Married,Meh...
1322,1954,84460,17,64,443,79,1,18,1,1,1,31,F,Graduation,Divorced,Kind of OK
1323,1959,88347,23,31,830,64,10,12,4,10,1,22,F,Graduation,Married,Meh...
1324,1981,58213,16,90,223,60,2,35,2,1,1,66,M,Graduation,Single,Meh...
1325,1950,86488,27,59,957,67,6,20,6,0,1,33,F,Graduation,Divorced,Take my money!!
1326,1955,78129,25,20,711,69,0,26,1,4,1,39,M,Graduation,Together,Meh...
1327,1955,84839,19,58,604,78,5,14,1,2,1,32,F,Master,Together,Meh...
1328,1955,88583,25,51,839,68,9,17,4,2,1,29,F,2nd Cycle,Divorced,OK nice!
1329,1954,98608,40,32,1730,45,8,30,11,6,1,39,M,1st Cycle,Together,OK nice!
1330,1950,114985,38,11,1670,63,10,22,5,0,1,32,M,Graduation,Single,OK nice!
1331,1984,34588,11,28,31,39,8,42,10,1,1,66,M,Graduation,Single,Meh...
1332,1992,23151,13,94,72,31,5,44,15,6,0,65,M,Graduation,Together,Meh...
1333,1982,32851,10,3,45,45,8,36,1,10,1,56,M,Graduation,Single,Kind of OK
1334,1944,96267,36,83,1533,41,9,34,8,8,0,23,M,2nd Cycle,Widow,Take my money!!
1335,1986,14344,9,70,23,49,9,32,9,0,1,64,M,Graduation,Married,Meh...
1336,1980,17680,12,48,41,24,10,43,18,5,1,67,M,2nd Cycle,Married,OK nice!
1337,1950,81085,25,16,838,49,4,39,4,4,1,26,M,Graduation,Married,Kind of OK
1338,1958,77588,4,13,66,52,11,19,6,12,1,22,M,Graduation,Married,Horrible
1339,1944,94068,41,32,1981,34,19,31,13,3,0,11,F,2nd Cycle,Married,Take my money!!
1340,1969,53951,24,78,590,72,3,20,1,4,1,47,M,Graduation,Married,Kind of OK
1341,1962,71351,10,35,184,42,4,36,8,10,1,33,F,Graduation,Together,Kind of OK
1342,1968,57452,7,71,23,82,2,11,5,1,1,54,F,Graduation,Single,OK nice!
1343,1946,92647,22,90,892,18,13,43,14,12,0,13,M,Graduation,Married,Kind of OK
1344,1936,113791,42,79,2101,44,7,40,4,5,0,11,F,Graduation,Widow,OK nice!
1345,1940,126407,43,87,1976,55,4,27,7,7,0,45,F,2nd Cycle,Married,Take my money!!
1346,1990,28462,6,298,9,24,7,41,14,14,0,59,F,Graduation,Single,OK nice!
1347,1967,61564,8,42,118,80,2,13,2,2,,38,M,Graduation,Married,Meh...
1348,1971,58136,10,45,48,40,11,27,15,7,1,68,F,Graduation,Married,Kind of OK
1349,1986,38162,11,75,72,18,6,45,12,19,1,50,M,Graduation,Together,Meh...
